neighborhood,avg_price
Bayview,125.70338983050847
Bernal Heights,201.07538802660753
Castro/Upper Market,249.51875
Chinatown,277.4078947368421
Crocker Amazon,115.14285714285714
Diamond Heights,199.5909090909091
Downtown/Civic Center,210.15248226950354
Excelsior,144.09150326797385
Financial District,271.47857142857146
Glen Park,231.82926829268294
Golden Gate Park,235.875
Haight Ashbury,235.55314009661836
Inner Richmond,230.29268292682926
Inner Sunset,255.04705882352943
Lakeshore,164.94230769230768
Marina,320.95098039215685
Mission,212.02509652509653
Nob Hill,239.5062111801242
Noe Valley,270.6333333333333
North Beach,321.75555555555553
Ocean View,147.6936936936937
Outer Mission,182.6890243902439
Outer Richmond,203.55384615384617
Outer Sunset,164.51968503937007
Pacific Heights,331.0987654320988
Parkside,229.98347107438016
Potrero Hill,326.0804195804196
Presidio,570.6666666666666
Presidio Heights,539.8461538461538
Russian Hill,363.5669642857143
Seacliff,287.0
South of Market,350.0177993527508
Treasure Island/YBI,91.72
Twin Peaks,212.0891089108911
Visitacion Valley,134.07894736842104
West of Twin Peaks,204.97560975609755
Western Addition,278.3517329910141
